time_id,drive_torque,steer_angle
555,1,0.524
556,0.04,0.524
557,0,0.524
558,0,0.524
559,0,0.524
560,0,0.524
561,0.25,0.524
562,0.5,0.524
563,0.75,0.524
564,0,0.524
565,0,0.524
566,0,0.524
567,0,0.524
568,0,0.524
569,0.25,0
570,0.5,0
571,0.75,0
572,1,0
573,0,0
574,0,0.524
575,0,0.524
576,0,0.524
577,0.25,0.524
578,0.5,0.524
579,0.75,0.524
580,1,0.524
581,1,0.524
582,0,0.524
583,0,0.524
584,0,0.524
585,0,0.524
586,0,0.524
587,0,0
588,0,0
589,0.25,0
590,0.5,0
591,0.75,0
592,1,0
593,1,0
594,1,0
595,1,0
596,1,0
597,1,0
598,0,0
599,0.75,0.524
600,0,0.524
601,0,0.524
602,0,0.524
603,0,0.524
604,0.25,0.524
605,0.5,0.524
606,0,0.524
607,0,0.524
608,0,0.524
609,0,0.524
610,0,0.524
611,0,0.524
612,0,0.524
613,0.25,0.524
614,0.5,0.524
615,0.75,0.524
616,0.75,0.524
617,0.001,0.524
618,0,0.524
619,0,0.524
620,0,0.524
621,0,0.021
622,0,0
623,0.248,0
624,0.5,0
625,0.5,0
626,0.75,0
627,1,0
628,1,0
629,0,0
